#reg1 reg2 reg3 reg4 tot 
  3.0888e-08   6.8482e-07   7.4979e-06   1.2847e-05   3.0005e-05 
  3.8168e-08   8.2775e-07   7.7619e-06   1.2085e-05   2.8539e-05 
  4.8504e-08   9.6048e-07   7.9693e-06   1.1561e-05   2.7387e-05 
  6.2726e-08   1.1050e-06   8.1816e-06   1.1608e-05   2.6949e-05 
  7.0859e-08   1.1855e-06   8.6601e-06   1.4254e-05   2.9413e-05 
  8.3549e-08   1.2771e-06   9.5221e-06   1.8520e-05   3.3990e-05 
  1.0022e-07   1.4089e-06   1.0737e-05   2.3176e-05   3.9436e-05 
  1.3231e-07   1.6206e-06   1.2013e-05   2.6602e-05   4.3880e-05 
  1.7889e-07   1.9081e-06   1.3298e-05   2.8804e-05   4.7262e-05 
  2.3382e-07   2.2110e-06   1.3512e-05   2.6154e-05   4.4799e-05 
  3.2409e-07   2.5561e-06   1.3316e-05   2.2541e-05   4.1091e-05 
  4.2671e-07   2.9072e-06   1.2901e-05   1.8814e-05   3.7108e-05 
  5.2654e-07   3.2475e-06   1.2293e-05   1.5356e-05   3.3224e-05 
  6.6495e-07   3.5955e-06   1.1629e-05   1.2492e-05   2.9957e-05 
  8.1116e-07   3.8610e-06   1.0948e-05   1.0125e-05   2.7124e-05 
  9.4669e-07   4.1190e-06   1.0231e-05   8.1758e-06   2.4679e-05 
  1.1131e-06   4.3734e-06   9.4520e-06   6.6532e-06   2.2648e-05 
  1.2731e-06   4.5624e-06   8.9380e-06   5.6601e-06   2.1357e-05 
  1.4837e-06   4.8961e-06   8.9101e-06   5.3558e-06   2.1454e-05 
  1.7487e-06   5.2837e-06   9.0786e-06   5.2326e-06   2.2051e-05 
  2.0294e-06   5.7495e-06   9.2371e-06   5.1975e-06   2.2832e-05 
  2.3523e-06   6.1500e-06   9.4612e-06   5.1427e-06   2.3648e-05 
  2.6727e-06   6.5183e-06   9.4673e-06   4.9161e-06   2.4048e-05 
  2.9664e-06   6.7966e-06   9.2357e-06   4.5829e-06   2.3996e-05 
  3.2335e-06   6.9220e-06   8.8404e-06   4.0907e-06   2.3449e-05 
  3.4268e-06   6.9635e-06   8.2374e-06   3.5435e-06   2.2489e-05 
  3.5893e-06   6.9022e-06   7.6432e-06   3.0268e-06   2.1439e-05 
  3.7423e-06   6.7997e-06   7.0060e-06   2.6113e-06   2.0402e-05 
  3.8337e-06   6.6333e-06   6.4873e-06   2.2387e-06   1.9406e-05 
  3.9188e-06   6.4620e-06   5.9209e-06   1.9283e-06   1.8416e-05 
  3.9570e-06   6.2302e-06   5.4372e-06   1.6673e-06   1.7455e-05 
  3.9496e-06   5.8686e-06   4.7747e-06   1.3522e-06   1.6080e-05 
  3.5887e-06   4.6354e-06   3.1693e-06   7.4616e-07   1.2220e-05 
  2.8334e-06   3.2483e-06   1.9496e-06   4.0639e-07   8.4856e-06 
  1.9440e-06   2.0242e-06   1.0914e-06   2.0317e-07   5.2913e-06 
  1.1903e-06   1.1360e-06   5.5956e-07   9.6550e-08   2.9994e-06 
  6.6292e-07   5.9175e-07   2.7085e-07   4.3652e-08   1.5793e-06 
  3.4513e-07   2.9146e-07   1.2585e-07   1.9268e-08   7.8774e-07 
  1.7127e-07   1.3824e-07   5.7226e-08   8.4522e-09   3.7879e-07 
  8.2170e-08   6.4325e-08   2.5454e-08   3.5914e-09   1.7768e-07 
  3.9123e-08   2.9746e-08   1.1428e-08   1.5971e-09   8.3170e-08 
  1.8287e-08   1.3547e-08   5.1032e-09   6.9731e-10   3.8393e-08 
